,accuracy_test,before_data,elapsed_time,market_variables,model,model_type,params,score,sweep_buy_sell,sweep_news_agg
0,0.30727554179566563,excluded,15.90287709236145,market_basic,knn,clf,{'n_neighbors': 71},0.31462848297213625,15_60,ALL_NO_1_1_1
1,0.3862229102167183,excluded,7.887022256851196,market_basic,tree,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.3906733746130031,15_60,ALL_NO_1_1_1
2,0.41873065015479877,excluded,219.39590525627136,market_basic,forest,clf,"{'max_depth': 6, 'min_samples_leaf': 20}",0.4005417956656347,15_60,ALL_NO_1_1_1
3,0.41873065015479877,excluded,1727.7208099365234,market_basic,xgb,clf,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",0.39376934984520123,15_60,ALL_NO_1_1_1
4,0.3831269349845201,excluded,46.623801946640015,market_basic,gradientBoosting,clf,{},0.3719040247678019,15_60,ALL_NO_1_1_1
0,0.35990712074303405,excluded,24.439056158065796,market_basic,knn,clf,{'n_neighbors': 21},0.3618421052631579,30_60,ALL_NO_1_1_1
1,0.4760061919504644,excluded,9.14658808708191,market_basic,tree,clf,"{'max_depth': 5, 'min_samples_leaf': 150}",0.47890866873065013,30_60,ALL_NO_1_1_1
2,0.5,excluded,209.4295699596405,market_basic,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 20}",0.4821981424148607,30_60,ALL_NO_1_1_1
3,0.5030959752321982,excluded,2079.7700889110565,market_basic,xgb,clf,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",0.48839009287925694,30_60,ALL_NO_1_1_1
4,0.4984520123839009,excluded,55.175612926483154,market_basic,gradientBoosting,clf,{},0.4626547987616099,30_60,ALL_NO_1_1_1
