,accuracy_test,before_data,elapsed_time,model,model_type,params,score,sweep_buy_sell,sweep_news_agg,sweeps_market_variables
0,0.32430340557275544,excluded,0.51,knn,clf,{'n_neighbors': 31},0.30,15_60,ALL_NO_3_2_1,market_basic
1,0.3862229102167183,excluded,0.19,tree,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.39,15_60,ALL_NO_3_2_1,market_basic
2,0.4102167182662539,excluded,11.78,forest,clf,"{'max_depth': 6, 'min_samples_leaf': 200, 'n_estimators': 50}",0.40,15_60,ALL_NO_3_2_1,market_basic
3,0.4148606811145511,excluded,1.45,xgb,clf,{'n_estimators': 50},0.39,15_60,ALL_NO_3_2_1,market_basic
4,0.413312693498452,excluded,2.10,gradientBoosting,clf,{'n_estimators': 50},0.39,15_60,ALL_NO_3_2_1,market_basic
5,0.37229102167182665,excluded,0.42,AdaBoostClassifier,clf,{'n_estimators': 10},0.39,15_60,ALL_NO_3_2_1,market_basic
0,0.34907120743034054,excluded,0.71,knn,clf,{'n_neighbors': 21},0.35,30_60,ALL_NO_3_2_1,market_basic
1,0.46904024767801855,excluded,0.32,tree,clf,"{'max_depth': 5, 'min_samples_leaf': 100}",0.48,30_60,ALL_NO_3_2_1,market_basic
2,0.5069659442724458,excluded,10.98,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.49,30_60,ALL_NO_3_2_1,market_basic
3,0.4938080495356037,excluded,1.79,xgb,clf,{'n_estimators': 100},0.49,30_60,ALL_NO_3_2_1,market_basic
4,0.49303405572755415,excluded,2.32,gradientBoosting,clf,{'n_estimators': 10},0.48,30_60,ALL_NO_3_2_1,market_basic
5,0.47523219814241485,excluded,0.48,AdaBoostClassifier,clf,{'n_estimators': 10},0.45,30_60,ALL_NO_3_2_1,market_basic
0,0.32894736842105265,excluded,0.70,knn,clf,{'n_neighbors': 41},0.32,30_90,ALL_NO_3_2_1,market_basic
1,0.4241486068111455,excluded,0.23,tree,clf,"{'max_depth': 4, 'min_samples_leaf': 100}",0.43,30_90,ALL_NO_3_2_1,market_basic
2,0.4473684210526316,excluded,10.64,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 150, 'n_estimators': 200}",0.43,30_90,ALL_NO_3_2_1,market_basic
3,0.4388544891640867,excluded,1.81,xgb,clf,{'n_estimators': 100},0.43,30_90,ALL_NO_3_2_1,market_basic
4,0.4434984520123839,excluded,2.37,gradientBoosting,clf,{'n_estimators': 50},0.43,30_90,ALL_NO_3_2_1,market_basic
5,0.4264705882352941,excluded,0.47,AdaBoostClassifier,clf,{'n_estimators': 50},0.42,30_90,ALL_NO_3_2_1,market_basic
0,0.3157894736842105,excluded,0.77,knn,clf,{'n_neighbors': 11},0.30,30_120,ALL_NO_3_2_1,market_basic
1,0.4179566563467492,excluded,0.24,tree,clf,"{'max_depth': 5, 'min_samples_leaf': 100}",0.40,30_120,ALL_NO_3_2_1,market_basic
2,0.4179566563467492,excluded,10.78,forest,clf,"{'max_depth': 6, 'min_samples_leaf': 100, 'n_estimators': 200}",0.40,30_120,ALL_NO_3_2_1,market_basic
3,0.42879256965944273,excluded,1.79,xgb,clf,{'n_estimators': 50},0.40,30_120,ALL_NO_3_2_1,market_basic
4,0.4311145510835913,excluded,2.51,gradientBoosting,clf,{'n_estimators': 10},0.40,30_120,ALL_NO_3_2_1,market_basic
5,0.42492260061919507,excluded,0.48,AdaBoostClassifier,clf,{'n_estimators': 10},0.39,30_120,ALL_NO_3_2_1,market_basic
0,0.4001547987616099,excluded,1.05,knn,clf,{'n_neighbors': 11},0.38,60_120,ALL_NO_3_2_1,market_basic
1,0.5015479876160991,excluded,0.29,tree,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.51,60_120,ALL_NO_3_2_1,market_basic
2,0.5402476780185759,excluded,11.21,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 100, 'n_estimators': 100}",0.52,60_120,ALL_NO_3_2_1,market_basic
3,0.5348297213622291,excluded,1.37,xgb,clf,{'n_estimators': 50},0.51,60_120,ALL_NO_3_2_1,market_basic
4,0.5270897832817337,excluded,1.81,gradientBoosting,clf,{'n_estimators': 50},0.51,60_120,ALL_NO_3_2_1,market_basic
5,0.5255417956656346,excluded,0.36,AdaBoostClassifier,clf,{'n_estimators': 50},0.48,60_120,ALL_NO_3_2_1,market_basic
0,0.3761609907120743,excluded,0.58,knn,clf,{'n_neighbors': 41},0.37,60_240,ALL_NO_3_2_1,market_basic
1,0.4504643962848297,excluded,0.19,tree,clf,"{'max_depth': 6, 'min_samples_leaf': 200}",0.44,60_240,ALL_NO_3_2_1,market_basic
2,0.45123839009287925,excluded,7.45,forest,clf,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 50}",0.45,60_240,ALL_NO_3_2_1,market_basic
3,0.4729102167182663,excluded,1.38,xgb,clf,{'n_estimators': 50},0.44,60_240,ALL_NO_3_2_1,market_basic
4,0.45975232198142413,excluded,1.71,gradientBoosting,clf,{'n_estimators': 50},0.44,60_240,ALL_NO_3_2_1,market_basic
5,0.4388544891640867,excluded,0.32,AdaBoostClassifier,clf,{'n_estimators': 10},0.43,60_240,ALL_NO_3_2_1,market_basic
