,new_id,new
0,12,Consumer Credit m/m
142,37,IBD/TIPP Economic Optimism
284,68,Trade Balance
426,31,Final Wholesale Inventories m/m
568,18,Crude Oil Inventories
1184,69,Unemployment Claims
1800,46,Natural Gas Storage
2416,17,Core Retail Sales m/m
2558,60,Retail Sales m/m
2700,41,Import Prices m/m
2842,5,Business Inventories m/m
2984,25,Federal Budget Balance
3126,21,Empire State Manufacturing Index
3268,49,PPI m/m
3410,16,Core PPI m/m
3552,66,TIC Long-Term Purchases
3694,9,Capacity Utilization Rate
3836,42,Industrial Production m/m
3978,44,NAHB Housing Market Index
4120,13,Core CPI m/m
4262,4,Building Permits
4404,8,CPI m/m
4546,36,Housing Starts
4688,53,Philly Fed Manufacturing Index
4830,58,Prelim UoM Consumer Sentiment
4972,7,CB Leading Index m/m
5114,64,Richmond Manufacturing Index
5256,23,Existing Home Sales
5398,14,Core Durable Goods Orders m/m
5540,20,Durable Goods Orders m/m
5682,47,New Home Sales
5824,65,S&P/CS Composite-20 HPI y/y
5965,6,CB Consumer Confidence
6106,0,ADP Non-Farm Employment Change
6247,2,Advance GDP q/q
6295,1,Advance GDP Price Index q/q
6343,22,Employment Cost Index q/q
6390,10,Chicago PMI
6531,11,Construction Spending m/m
6672,26,Federal Funds Rate
6766,67,Total Vehicle Sales
6907,15,Core PCE Price Index m/m
7048,52,Personal Spending m/m
7189,51,Personal Income m/m
7330,38,ISM Manufacturing PMI
7471,50,Pending Home Sales m/m
7613,39,ISM Manufacturing Prices
7754,48,Non-Farm Employment Change
7895,70,Unemployment Rate
8036,3,Average Hourly Earnings m/m
8177,24,Factory Orders m/m
8318,63,Revised UoM Consumer Sentiment
8460,40,ISM Non-Manufacturing PMI
8601,56,Prelim Nonfarm Productivity q/q
8648,57,Prelim Unit Labor Costs q/q
8695,55,Prelim GDP q/q
8742,54,Prelim GDP Price Index q/q
8789,61,Revised Nonfarm Productivity q/q
8836,62,Revised Unit Labor Costs q/q
8883,19,Current Account
8930,28,Final GDP q/q
8977,27,Final GDP Price Index q/q
9024,35,HPI m/m
9152,45,NFIB Small Business Index
9254,43,JOLTS Job Openings
9331,32,Flash Manufacturing PMI
9408,29,Final Manufacturing PMI
9484,30,Final Services PMI
9543,33,Flash Services PMI
9602,34,Goods Trade Balance
9640,59,Prelim Wholesale Inventories m/m
